2uuh_1A_bb_00060,10,16,46
4gc0_1B_bb_00079,64,36,44
4gc0_1B_bb_00078,90,36,20
4gc0_1B_bb_00011,28,8,34
1v55_1D_bb_00596,14,20,6
1v55_1D_bb_00595,10,20,12
1v55_1D_bb_00594,8,20,20
2uuh_1A_bb_00066,52,12,40
4gc0_1B_bb_00057,212,32,40
4gc0_1B_bb_00056,238,32,36
4gc0_1B_bb_00059,154,28,148
1v55_1D_bb_00504,68,16,64
1v55_1D_bb_00426,52,4,18
1v55_1D_bb_00425,40,4,20
1v55_1D_bb_00507,134,16,24
1v55_1D_bb_00501,6,16,86
1v55_1D_bb_00502,14,16,82
1v55_1D_bb_00503,34,16,72
1v55_1D_bb_00405,66,12,18
1v55_1D_bb_00404,34,12,30
1v55_1D_bb_00406,82,12,12
1v55_1D_bb_00508,140,16,20
1v55_1D_bb_00509,134,16,16
4gc0_1B_bb_00144,190,24,8
1v55_1D_bb_00402,6,12,60
1v55_1D_bb_00694,12,12,20
1v55_1D_bb_00695,22,12,18
1v55_1D_bb_00696,32,12,16
1v55_1D_bb_00697,28,12,14
2uuh_1A_bb_00022,44,28,18
2uuh_1A_bb_00047,64,36,44
1v55_1D_bb_00693,6,12,20
1v55_1D_bb_00698,20,12,8
1v55_1D_bb_00699,8,12,8
4gc0_1B_bb_00393,6,16,86
4gc0_1B_bb_00012,32,8,40
4gc0_1B_bb_00068,142,32,40
4gc0_1B_bb_00069,120,32,104
4gc0_1B_bb_00394,14,16,82
1v55_1D_bb_00505,88,16,58
1v55_1D_bb_00506,114,16,40
1v55_1D_bb_00303,6,4,12
3bz1_6B_bb_00232,56,4,44
2uuh_1A_bb_00059,52,40,62
1v55_1D_bb_00307,70,4,6
1v55_1D_bb_00304,10,4,10
1v55_1D_bb_00305,28,4,8
4gc0_1B_bb_00084,84,24,26
4gc0_1B_bb_00085,84,20,18
4gc0_1B_bb_00083,94,24,28
2uuh_1A_bb_00092,34,216,14
2uuh_1A_bb_00093,58,208,32
4gc0_1B_bb_00093,60,12,28
2uuh_1A_bb_00091,24,192,14
2uuh_1A_bb_00094,58,172,80
1v55_1D_bb_00510,124,16,14
2uuh_1A_bb_00070,58,44,40
4gc0_1B_bb_00098,52,12,40
2uuh_1A_bb_00054,54,60,80
2uuh_1A_bb_00055,78,60,138
2uuh_1A_bb_00052,34,36,12
2uuh_1A_bb_00053,36,64,26
2uuh_1A_bb_00051,24,20,22
4dji_1C_bb_00335,82,12,12
2uuh_1A_bb_00030,14,24,40
4gc0_1B_bb_00013,32,8,56
4gc0_1B_bb_00089,38,20,32
1v55_1D_bb_00167,154,28,148
